stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
321,321,"236th St SW & 56th Ave W",47.784710,-122.307383,0,
322,322,"236th St SW & 58th Ave W",47.784750,-122.311336,0,
324,324,"236th St SW & 50th Ave W",47.784635,-122.300439,0,
326,326,"238th St SW & Edmonds Way",47.783160,-122.349924,0,
327,327,"238th St SW & 84th Ave W",47.783159,-122.347461,0,
333,333,"271st St NW & 94th Dr NW",48.242061,-122.360661,0,
334,334,"271st St NW & 90th Ave NW",48.242060,-122.353328,0,
335,335,"271st St NW & 92nd Ave NW",48.242092,-122.357072,0,
340,340,"276th St NW & 78th Ave NW",48.246636,-122.338966,0,
342,342,"64th St NE & 47th Ave NE",48.051695,-122.167147,0,
344,344,"4th St & Quinn Ave",48.051713,-122.171961,0,
356,356,"64th St NE & 65th Dr NE",48.053609,-122.144022,0,
357,357,"64th St NE & 58th Dr NE",48.053756,-122.153087,0,
358,358,"64th St NE & 55th Dr NE",48.053803,-122.156001,0,
359,359,"64th St NE & 60th Dr NE",48.053692,-122.149168,0,
369,369,"92nd St SE & 113th Dr SE",47.913225,-122.078651,0,
371,371,"Alderwood Mall Blvd & 33rd Ave W",47.822757,-122.277329,0,
384,384,"E Burke Ave & Manhattan St",48.200185,-122.121560,0,
399,399,"Caspers St & 7th Ave N",47.817697,-122.371372,0,
400,400,"Caspers St & 8th Ave N",47.817696,-122.369272,0,
402,402,"Chennault Beach Rd & Harbour Reach Dr",47.895144,-122.299804,0,
408,408,"W Dayton St & Edmonds Way",47.809625,-122.384710,0,
416,416,"Grove St & 47th Ave NE",48.061125,-122.166988,0,
417,417,"Grove St & 51st Ave NE",48.061086,-122.162502,0,
431,431,"Howell St & Yale Ave",47.617822,-122.329199,0,
432,432,"Harbour Pointe Blvd SW & 52nd Pl W",47.886098,-122.304001,0,
433,433,"Harbour Pointe Blvd SW & Blue Heron Blvd",47.886362,-122.298652,0,
435,435,"Harbour Pointe Blvd SW & Harbour Reach Dr",47.886910,-122.294677,0,
439,439,"Lewis Ave & 3rd St",47.857590,-121.698892,0,
440,440,"Lewis Ave & 7th St",47.855389,-121.694587,0,
441,441,"Lake View Dr & Cedar Rd",48.015301,-122.083988,0,
443,443,"Lakewood Rd & 176th Pl NW",48.156474,-122.244826,0,
444,444,"Lakewood Rd & 184th St NW",48.163303,-122.336041,0,
445,445,"Lakewood Rd & 188th St NW",48.166847,-122.347770,0,
446,446,"Lakewood Rd & 31st Dr NW",48.155554,-122.274244,0,
447,447,"Lakewood Rd & 65th Dr NW",48.160846,-122.326002,0,
448,448,"Lakewood Rd & 172nd St NW",48.152101,-122.238810,0,
449,449,"Lakewood Rd & 60th Ave NW",48.158978,-122.314509,0,
450,450,"Lakewood Rd & E Lake Goodwin Rd",48.155637,-122.288206,0,
451,451,"Lakewood Rd & 53rd Dr NW",48.155837,-122.306386,0,
452,452,"Lakewood Rd & Lake Ki",48.156724,-122.262389,0,
453,453,"Logan Rd & Locust Way",47.808529,-122.253484,0,
454,454,"Lundeen Pkwy & Hwy 9",48.013184,-122.106978,0,
455,455,"Lundeen Pkwy & Vernon Rd",48.017728,-122.092097,0,
456,456,"Lundeen Pkwy & 101st Ave NE",48.017726,-122.094862,0,
457,457,"Main St & 7th Ave N",47.810437,-122.372537,0,
459,459,"Main St & 8th Ave S",47.810449,-122.369219,0,
460,460,"Main St & 9th Ave S",47.810440,-122.365877,0,
461,461,"Main St & Hillcrest Pl",47.810442,-122.354145,0,
