shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
101:179,47.880260,-122.266980,70014,3460.67
101:179,47.880070,-122.267160,70015,3485.72
101:179,47.879990,-122.267230,70016,3496.03
101:179,47.879820,-122.267390,70017,3518.40
101:179,47.879630,-122.267570,70018,3543.45
101:179,47.879467,-122.267726,70019,3565.03
101:179,47.879390,-122.267800,80002,3575.18
101:179,47.879190,-122.267990,80003,3601.58
101:179,47.879120,-122.268050,80004,3610.57
101:179,47.878870,-122.268280,80005,3643.27
101:179,47.878590,-122.268540,80006,3679.97
101:179,47.878240,-122.268870,80007,3726.06
101:179,47.878040,-122.269060,80008,3752.42
101:179,47.877770,-122.269310,80009,3787.81
101:179,47.877630,-122.269440,80010,3806.13
101:179,47.877520,-122.269540,80011,3820.48
101:179,47.877270,-122.269780,80012,3853.59
101:179,47.877210,-122.269830,80013,3861.24
101:179,47.877020,-122.270000,80014,3885.90
101:179,47.876660,-122.270340,80015,3933.32
101:179,47.876530,-122.270460,80016,3950.33
101:179,47.876220,-122.270750,80017,3991.05
101:179,47.876150,-122.270810,80018,4000.01
101:179,47.875760,-122.271170,80019,4051.07
101:179,47.875620,-122.271290,80020,4069.02
101:179,47.875550,-122.271350,80021,4078.01
101:179,47.875280,-122.271600,80022,4113.37
101:179,47.875160,-122.271710,80023,4129.06
101:179,47.875080,-122.271780,80024,4139.37
101:179,47.874980,-122.271870,80025,4152.38
101:179,47.874900,-122.271950,80026,4163.11
101:179,47.874800,-122.272050,80027,4176.49
101:179,47.874660,-122.272180,80028,4194.84
101:179,47.874520,-122.272310,80029,4213.19
101:179,47.874360,-122.272460,80030,4234.22
101:179,47.874220,-122.272590,80031,4252.54
101:179,47.874130,-122.272680,80032,4264.61
101:179,47.874020,-122.272780,80033,4278.93
101:179,47.873843,-122.272949,80034,4302.37
101:179,47.873800,-122.272990,90002,4308.01
101:179,47.873700,-122.273090,90003,4321.39
101:179,47.873540,-122.273240,90004,4342.42
101:179,47.873350,-122.273430,90005,4367.88
101:179,47.873010,-122.273750,90006,4412.59
101:179,47.872600,-122.274130,90007,4466.33
101:179,47.872450,-122.274260,90008,4485.62
101:179,47.872380,-122.274330,90009,4495.01
101:179,47.872270,-122.274430,90010,4509.33
101:179,47.872170,-122.274520,90011,4522.32
101:179,47.871990,-122.274690,90012,4546.06
101:179,47.871760,-122.274910,90013,4576.48
101:179,47.871660,-122.275000,90014,4589.46
101:179,47.871600,-122.275060,90015,4597.51
101:179,47.871500,-122.275150,90016,4610.53
101:179,47.871380,-122.275270,90017,4626.62
101:179,47.871240,-122.275400,90018,4644.97
101:179,47.871160,-122.275480,90019,4655.70
101:179,47.870970,-122.275660,90020,4680.75
101:179,47.870930,-122.275790,90021,4691.42
101:179,47.870880,-122.275830,90022,4697.76
101:179,47.870560,-122.276140,90023,4740.22
101:179,47.870240,-122.276450,90024,4782.68
101:179,47.870060,-122.276630,90025,4806.82
101:179,47.869850,-122.276820,90026,4834.16
101:179,47.869520,-122.277120,90027,4877.14
101:179,47.869400,-122.277230,90028,4892.83
101:179,47.869290,-122.277330,90029,4907.19
101:179,47.869210,-122.277410,90030,4917.89
101:179,47.868850,-122.277750,90031,4965.31
101:179,47.868720,-122.277870,90032,4982.35
101:179,47.868460,-122.278110,90033,5016.37
101:179,47.868270,-122.278290,90034,5041.42
101:179,47.868040,-122.278500,90035,5071.41
101:179,47.867840,-122.278690,90036,5097.81
101:179,47.867690,-122.278830,90037,5117.53
101:179,47.867600,-122.278910,90038,5129.17
101:179,47.867520,-122.278980,90039,5139.51
101:179,47.867410,-122.279000,90040,5151.82
101:179,47.866980,-122.279370,90041,5207.08
101:179,47.866790,-122.279550,90042,5232.14
101:179,47.866580,-122.279740,90043,5259.45
101:179,47.866460,-122.279850,90044,5275.14
101:179,47.866130,-122.280160,90045,5318.55
101:179,47.865960,-122.280320,90046,5340.89
101:179,47.865610,-122.280640,90047,5386.61
101:179,47.865390,-122.280860,90048,5416.08
101:179,47.865020,-122.281200,90049,5464.45
101:179,47.864730,-122.281470,90050,5502.49
101:179,47.864680,-122.281510,90051,5508.83
101:179,47.864230,-122.281940,90052,5568.30
101:179,47.863820,-122.282310,90053,5621.61
101:179,47.863730,-122.282400,90054,5633.68
101:179,47.863630,-122.282490,90055,5646.69
101:179,47.863590,-122.282530,90056,5652.06
